Accession	Gene_Family	Sp	mentioned_miRNA	Pollutant	Observed_Specie	Type	Observerd_effect	Reference	Reference_Rank_score
NA	NA	mmu-	miR-290	Benzo(a)pyrene	Mus musculus	in vivo (spleen)	down-regulated in spleen	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0000895	mir-290	rno-	miR-291a-3p	2,5-hexanedione	Rattus norvegicus domestica (Sprague Dawley)	in vivo (spinal cord tissue)	upregulated in spinal chord tissue after 2,5-hexanedione exposure	Piao F, Chen Y, Yu L, Shi X, Liu X, Jiang L, et al. 2,5-hexanedione-induced deregulation of axon-related microRNA expression in rat nerve tissues. Toxicology Letters [Internet]. Elsevier BV; 2020 Mar;320:95–102. Available from: http://dx.doi.org/10.1016/j.toxlet.2019.11.0	1
MIMAT0000368	mir-290	mmu-	miR-291a-3p	Benzo(a)pyrene	Mus musculus	in vivo (colon)	Up-regulated in colon	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0000368	mir-290	mmu-	miR-291a-3p	Benzo(a)pyrene	Mus musculus	in vivo (liver)	down-regulated in liver	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0000368	mir-290	mmu-	miR-291a-3p	Benzo(a)pyrene	Mus musculus	in vivo (lung)	down-regulated in lung	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0000368	mir-290	mmu-	miR-291a-3p	Benzo(a)pyrene	Mus musculus	in vivo (spleen)	Up-regulated in spleen	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0000367	mir-290	mmu-	miR-291a-5p	Benzo(a)pyrene	Mus musculus	in vivo (forestomach)	down-regulated in forestomach	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0000367	mir-290	mmu-	miR-291a-5p	Benzo(a)pyrene	Mus musculus	in vivo (lung)	down-regulated in lung	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0003189	mir-290	mmu-	miR-291b-5p	Benzo(a)pyrene	Mus musculus	in vivo (colon)	down-regulated in colon	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0003189	mir-290	mmu-	miR-291b-5p	Benzo(a)pyrene	Mus musculus	in vivo (forestomach)	down-regulated in forestomach	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0003189	mir-290	mmu-	miR-291b-5p	Benzo(a)pyrene	Mus musculus	in vivo (glandular stomach)	down-regulated in glandular stomach	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0003189	mir-290	mmu-	miR-291b-5p	Benzo(a)pyrene	Mus musculus	in vivo (lung)	Up-regulated in lung	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0003189	mir-290	mmu-	miR-291b-5p	Benzo(a)pyrene	Mus musculus	in vivo (spleen)	down-regulated in spleen	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	mmu-	miR-292-3p	Benzo(a)pyrene	Mus musculus	in vivo (liver)	Up-regulated in liver	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	mmu-	miR-292-3p	Benzo(a)pyrene	Mus musculus	in vivo (spleen)	Up-regulated in spleen	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	mmu-	miR-292-5p	Benzo(a)pyrene	Mus musculus	in vivo (colon)	down-regulated in colon	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	mmu-	miR-292-5p	Benzo(a)pyrene	Mus musculus	in vivo (forestomach)	down-regulated in forestomach	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	mmu-	miR-292-5p	Benzo(a)pyrene	Mus musculus	in vivo (glandular stomach)	down-regulated in glandular stomach	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	mmu-	miR-292-5p	Benzo(a)pyrene	Mus musculus	in vivo (lung)	Up-regulated in lung	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	mmu-	miR-292-5p	Benzo(a)pyrene	Mus musculus	in vivo (spleen)	down-regulated in spleen	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	mmu-	miR-293	Benzo(a)pyrene	Mus musculus	in vivo (spleen)	Up-regulated in spleen	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	mmu-	miR-294	Benzo(a)pyrene	Mus musculus	Developmental biology (whole body)	upreagulated in embryo from sperma of exposed mice.	Brevik A, Lindeman B, Brunborg G, Duale N. Paternal Benzo[a]pyrene Exposure Modulates MicroRNA Expression Patterns in the Developing Mouse Embryo. International Journal of Cell Biology [Internet]. Hindawi Limited; 2012;2012:1–11. Available from: http://dx.doi.org/10.1155/2012/407431	1
MIMAT0004450	mir-297	hsa-	miR-297	Lead	Homo sapiens	in vivo (Cervical swabs in pregnancy)	differential regulation in exposed pregnant women	Sanders AP, Burris HH, Just AC, Motta V, Amarasiriwardena C, Svensson K, et al. Altered miRNA expression in the cervix during pregnancy associated with lead and mercury exposure. Epigenomics [Internet]. Future Medicine Ltd; 2015 Sep;7(6):885–96. Available from: http://dx.doi.org/10.2217/epi.15.54	1
MIMAT0004450	mir-297	hsa-	miR-297	Lead	Homo sapiens	in vivo (Cervical swabs in pregnancy)	differential regulation in exposed pregnant women	Sanders AP, Burris HH, Just AC, Motta V, Amarasiriwardena C, Svensson K, et al. Altered miRNA expression in the cervix during pregnancy associated with lead and mercury exposure. Epigenomics [Internet]. Future Medicine Ltd; 2015 Sep;7(6):885–96. Available from: http://dx.doi.org/10.2217/epi.15.54	1
MIMAT0004450	mir-297	hsa-	miR-297	Aluminium	Homo sapiens	in vitro (HBE cells) Lung epithelial	up-regulate after alluminium oxide nanoparticles exposure	Yun J, Yang H, Li X, Sun H, Xu J, Meng Q, et al. Up-regulation of miR-297 mediates aluminum oxide nanoparticle-induced lung inflammation through activation of Notch pathway. Environmental Pollution [Internet]. Elsevier BV; 2020 Apr;259:113839. Available from: http://dx.doi.org/10.1016/j.envpol.2019.113839	0
NA	NA	mmu-	miR-297	Benzo(a)pyrene	Mus musculus	in vivo (spleen)	Up-regulated in spleen	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	mmu-	miR-298	Benzo(a)pyrene	Mus musculus	in vivo (colon)	down-regulated in colon	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	mmu-	miR-298	Benzo(a)pyrene	Mus musculus	in vivo (forestomach)	down-regulated in forestomach	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	mmu-	miR-298	Benzo(a)pyrene	Mus musculus	in vivo (glandular stomach)	down-regulated in glandular stomach	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
NA	NA	mmu-	miR-298	Benzo(a)pyrene	Mus musculus	in vivo (spleen)	down-regulated in spleen	Zuo, J., Brewer, D.S., Arlt, V.M. et al. Benzo[a] pyrene-induced DNA adducts and gene expression profiles in target and non-target organs for carcinogenesis in mice. BMC Genomics 15, 880 (2014). https://doi.org/10.1186/1471-2164-15-880	1,13
MIMAT0000376	mir-298	mmu-	miR-298-5p	Ketones	Mus musculus	Developmental biology (brain)	up regulated in brain tissue from embryos of exposed mice	Wnuk A, Rzemieniec J, Staroń J, Litwa E, Lasoń W, Bojarski A, et al. Prenatal Exposure to Benzophenone-3 Impairs Autophagy, Disrupts RXRs/PPARγ Signaling, and Alters Epigenetic and Post-Translational Statuses in Brain Neurons. Molecular Neurobiology [Internet]. Springer Science and Business Media LLC; 2018 Nov 6;56(7):4820–37. Available from: http://dx.doi.org/10.1007/s12035-018-1401-5	1
MIMAT0000535	mir-29	mmu-	miR-29a-3p	Ketones	Mus musculus	Developmental biology (brain)	down  regulated in brain tissue from embryos of exposed mice	Wnuk A, Rzemieniec J, Staroń J, Litwa E, Lasoń W, Bojarski A, et al. Prenatal Exposure to Benzophenone-3 Impairs Autophagy, Disrupts RXRs/PPARγ Signaling, and Alters Epigenetic and Post-Translational Statuses in Brain Neurons. Molecular Neurobiology [Internet]. Springer Science and Business Media LLC; 2018 Nov 6;56(7):4820–37. Available from: http://dx.doi.org/10.1007/s12035-018-1401-5	1
NA	NA	mmu-	miR-29b	Benzo(a)pyrene	Mus musculus	in vivo (lung)	Upregulated. Oral gavage produce a strong miRNA response in lungs rather than in liver.  Expression may be correlated to those of certain lymphomas.	Halappanavar S, Wu D, Williams A, Kuo B, Godschalk RW, Van Schooten FJ, et al. Pulmonary gene and microRNA expression changes in mice exposed to benzo(a)pyrene by oral gavage. Toxicology [Internet]. Elsevier BV; 2011 Jul;285(3):133–41. Available from: http://dx.doi.org/10.1016/j.tox.2011.04.011	1,05
NA	NA	hsa-	miR-29b	Benzo(a)pyrene	Homo sapiens	In vitro (MCF-7 and  MDA-MB-231 cells) mammary gland	downregulated after exposure, targeting invasiveness mechanisms.	Malik DE, David RM, Gooderham NJ. Mechanistic evidence that benzo[a]pyrene promotes an inflammatory microenvironment that drives the metastatic potential of human mammary cells. Arch Toxicol. 2018;92(10):3223-3239. doi:10.1007/s00204-018-2291-z	1
NA	NA	mmu-	miR-29b	Lead	Mus musculus	in vivo (B6.Cg-Mapttm1 (GFP)KltTg(MAPT)8cPdav/J) brain tissue	differentially regulated after exposure with a concentration of 1.95 ppm of wet weight.	Masoud AM, Bihaqi SW, Alansi B, et al. Altered microRNA, mRNA, and Protein Expression of Neurodegeneration-Related Biomarkers and Their Transcriptional and Epigenetic Modifiers in a Human Tau Transgenic Mouse Model in Response to Developmental Lead Exposure. J Alzheimers Dis. 2018;63(1):273-282. doi:10.3233/JAD-170824	0
MIMAT0000801	mir-29	rno-	miR-29b-3p	Aluminium+Fluorine	Rattus norvegicus domestica (Sprague Dawley)	in vivo (hippocampus)	Down-regulated after exposure to different concentrations in hippocampus	Ge Q-D, Xie C, Zhang H, Tan Y, Wan C-W, Wang W-J, et al. Differential Expression of miRNAs in the Hippocampi of Offspring Rats Exposed to Fluorine Combined with Aluminum during the Embryonic Stage and into Adulthood. Biological Trace Element Research [Internet]. Springer Science and Business Media LLC; 2018 Jul 22;189(2):463–77. Available from: http://dx.doi.org/10.1007/s12011-018-1445-4	1
MIMAT0000127	mir-29	mmu-	miR-29b-3p	Ketones	Mus musculus	Developmental biology (brain)	down  regulated in brain tissue from embryos of exposed mice	Wnuk A, Rzemieniec J, Staroń J, Litwa E, Lasoń W, Bojarski A, et al. Prenatal Exposure to Benzophenone-3 Impairs Autophagy, Disrupts RXRs/PPARγ Signaling, and Alters Epigenetic and Post-Translational Statuses in Brain Neurons. Molecular Neurobiology [Internet]. Springer Science and Business Media LLC; 2018 Nov 6;56(7):4820–37. Available from: http://dx.doi.org/10.1007/s12035-018-1401-5	1
MIMAT0004717	mir-29	rno-	miR-29b-5p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly decreased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0000681	mir-29	hsa-	miR-29c-3p	Arsenic	Homo sapiens	in vivo (skin lessions biopsies)	Differential expression in malignant lesions associated to arsenic)	Al-Eryani L, Jenkins SF, States VA, Pan J, Malone JC, Rai SN, et al. miRNA expression profiles of premalignant and malignant arsenic-induced skin lesions. Ahmad A, editor. PLOS ONE [Internet]. Public Library of Science (PLoS); 2018 Aug 16;13(8):e0202579. Available from: http://dx.doi.org/10.1371/journal.pone.0202579	1
MIMAT0000681	mir-29	hsa-	miR-29c-3p	Cadmium	Homo sapiens	in vitro (RPTEC) Primary Renal Proximal Tubule Epithelial	differential regulated after exposure	Lemaire J, Van der Hauwaert C, Savary G, Dewaeles E, Perrais M, Lo Guidice JM, et al. Cadmium-Induced Renal Cell Toxicity Is Associated With MicroRNA Deregulation. International Journal of Toxicology [Internet]. SAGE Publications; 2020 Jan 14;39(2):103–14. Available from: http://dx.doi.org/10.1177/1091581819899039	0
MIMAT0000536	mir-29	mmu-	miR-29c-3p	Ketones	Mus musculus	Developmental biology (brain)	down  regulated in brain tissue from embryos of exposed mice	Wnuk A, Rzemieniec J, Staroń J, Litwa E, Lasoń W, Bojarski A, et al. Prenatal Exposure to Benzophenone-3 Impairs Autophagy, Disrupts RXRs/PPARγ Signaling, and Alters Epigenetic and Post-Translational Statuses in Brain Neurons. Molecular Neurobiology [Internet]. Springer Science and Business Media LLC; 2018 Nov 6;56(7):4820–37. Available from: http://dx.doi.org/10.1007/s12035-018-1401-5	1
MIMAT0000803	mir-29	rno-	miR-29c-3p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (kidney)	significatively downregulated after exposure	Yuan W, Liu L, Liang L, Huang K, Deng Y, Dong M, et al. MiR-122-5p and miR-326-3p: Potential novel biomarkers for early detection of cadmium exposure. Gene [Internet]. Elsevier BV; 2020 Jan;724:144156. Available from: http://dx.doi.org/10.1016/j.gene.2019.144156	1
MIMAT0003154	mir-29	rno-	miR-29c-5p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly decreased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0000106	mir-2	dme-	miR-2a-3p	Chromium	Drosophila melanogaster	in vivo (midgut)	up-regulated concentration-dipendent	Chandra S, Pandey A, Chowdhuri DK. MiRNA profiling provides insights on adverse effects of Cr(VI) in the midgut tissues of Drosophila melanogaster. J Hazard Mater. 2015;283:558-567. doi:10.1016/j.jhazmat.2014.09.054	1
MIMAT0000107	mir-2	dme-	miR-2b-3p	Chromium	Drosophila melanogaster	in vivo (midgut)	up-regulated concentration-dipendent	Chandra S, Pandey A, Chowdhuri DK. MiRNA profiling provides insights on adverse effects of Cr(VI) in the midgut tissues of Drosophila melanogaster. J Hazard Mater. 2015;283:558-567. doi:10.1016/j.jhazmat.2014.09.054	1
MIMAT0000552	mir-130	rno-	miR-301a-3p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly decreased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0000688	mir-130	hsa-	miR-301a-3p	Cadmium	Homo sapiens	in vitro (RPTEC) Primary Renal Proximal Tubule Epithelial	differential regulated after exposure	Lemaire J, Van der Hauwaert C, Savary G, Dewaeles E, Perrais M, Lo Guidice JM, et al. Cadmium-Induced Renal Cell Toxicity Is Associated With MicroRNA Deregulation. International Journal of Toxicology [Internet]. SAGE Publications; 2020 Jan 14;39(2):103–14. Available from: http://dx.doi.org/10.1177/1091581819899039	0
NA	NA	hsa-	miR-301b	Benzo(a)pyrene	Homo sapiens	in vitro (liver) HepaRG	time-dosis dependent differential reulation after exposure	Marrone AK, Tryndyak V, Beland FA, Pogribny IP. MicroRNA Responses to the Genotoxic Carcinogens Aflatoxin B1and Benzo[a]pyrene in Human HepaRG Cells. Toxicological Sciences [Internet]. Oxford University Press (OUP); 2015 Nov 24;149(2):496–502. Available from: http://dx.doi.org/10.1093/toxsci/kfv253	1,04
MIMAT0004579	mir-302	mmu-	miR-302a-5p	Ketones	Mus musculus	Developmental biology (brain)	down  regulated in brain tissue from embryos of exposed mice	Wnuk A, Rzemieniec J, Staroń J, Litwa E, Lasoń W, Bojarski A, et al. Prenatal Exposure to Benzophenone-3 Impairs Autophagy, Disrupts RXRs/PPARγ Signaling, and Alters Epigenetic and Post-Translational Statuses in Brain Neurons. Molecular Neurobiology [Internet]. Springer Science and Business Media LLC; 2018 Nov 6;56(7):4820–37. Available from: http://dx.doi.org/10.1007/s12035-018-1401-5	1
NA	NA	hsa-	miR-302b	Arsenic	Homo sapiens	in vivo (skin lessions biopsies)	Differential expression in malignant lesions associated to arsenic)	Al-Eryani L, Jenkins SF, States VA, Pan J, Malone JC, Rai SN, et al. miRNA expression profiles of premalignant and malignant arsenic-induced skin lesions. Ahmad A, editor. PLOS ONE [Internet]. Public Library of Science (PLoS); 2018 Aug 16;13(8):e0202579. Available from: http://dx.doi.org/10.1371/journal.pone.0202579	1
MIMAT0003373	mir-302	mmu-	miR-302b-5p	Ketones	Mus musculus	Developmental biology (brain)	up regulated in brain tissue from embryos of exposed mice	Wnuk A, Rzemieniec J, Staroń J, Litwa E, Lasoń W, Bojarski A, et al. Prenatal Exposure to Benzophenone-3 Impairs Autophagy, Disrupts RXRs/PPARγ Signaling, and Alters Epigenetic and Post-Translational Statuses in Brain Neurons. Molecular Neurobiology [Internet]. Springer Science and Business Media LLC; 2018 Nov 6;56(7):4820–37. Available from: http://dx.doi.org/10.1007/s12035-018-1401-5	1
MIMAT0018924	NA	dpu-	miR-305	Cadmium	Daphnia pulex	in vivo (whole body offspring)	up-regulated after exposure	Chen S, Nichols KM, Poynton HC, Sepúlveda MS. MicroRNAs are involved in cadmium tolerance in Daphnia pulex. Aquatic Toxicology [Internet]. Elsevier BV; 2016 Jun;175:241–8. Available from: http://dx.doi.org/10.1016/j.aquatox.2016.03.023	1
MIMAT0000393	mir-306	dme-	miR-306-5p	Chromium	Drosophila melanogaster	in vivo (midgut)	up-regulated concentration-dipendent	Chandra S, Pandey A, Chowdhuri DK. MiRNA profiling provides insights on adverse effects of Cr(VI) in the midgut tissues of Drosophila melanogaster. J Hazard Mater. 2015;283:558-567. doi:10.1016/j.jhazmat.2014.09.054	1
MIMAT0024845	mir-3068	rno-	miR-3068-5p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly decreased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0035740	mir-3084	rno-	miR-3084a-3p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly increased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
NA	NA	rno-	miR-3084c-3p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly increased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
NA	NA	hsa-	miR-30a	Cadmium	Homo sapiens	in vitro (BEAS-2B) lung epithelial	dose-dependent downregulation	Tanwar VS, Zhang X, Jagannathan L, Jose CC, Cuddapah S. Cadmium exposure upregulates SNAIL through miR-30 repression in human lung epithelial cells. Toxicology and Applied Pharmacology [Internet]. Elsevier BV; 2019 Jun;373:1–9. Available from: http://dx.doi.org/10.1016/j.taap.2019.04.011	0
MIMAT0000809	mir-30	rno-	miR-30a-3p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly decreased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0000809	mir-30	rno-	miR-30a-3p	Ketones	Rattus norvegicus domestica (Sprague Dawley)	in vitro (Rat Mesenchymal Stem Cells-bone marrow)	overexpressed  in exosomes after phosgene exposure	Xu N, He D, Shao Y, Qu Y, Ye K, Memet O, et al. Lung-derived exosomes in phosgene-induced acute lung injury regulate the functions of mesenchymal stem cells partially via miR-28-5p. Biomedicine & Pharmacotherapy [Internet]. Elsevier BV; 2020 Jan;121:109603. Available from: http://dx.doi.org/10.1016/j.biopha.2019.109603	1
MIMAT0000809	mir-30	rno-	miR-30a-3p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (kidney)	significatively downregulated after exposure	Yuan W, Liu L, Liang L, Huang K, Deng Y, Dong M, et al. MiR-122-5p and miR-326-3p: Potential novel biomarkers for early detection of cadmium exposure. Gene [Internet]. Elsevier BV; 2020 Jan;724:144156. Available from: http://dx.doi.org/10.1016/j.gene.2019.144156	1
MIMAT0000808	mir-30	rno-	miR-30a-5p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly decreased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0000128	mir-30	mmu-	miR-30a-5p	Ketones	Mus musculus	Developmental biology (brain)	up regulated in brain tissue from embryos of exposed mice	Wnuk A, Rzemieniec J, Staroń J, Litwa E, Lasoń W, Bojarski A, et al. Prenatal Exposure to Benzophenone-3 Impairs Autophagy, Disrupts RXRs/PPARγ Signaling, and Alters Epigenetic and Post-Translational Statuses in Brain Neurons. Molecular Neurobiology [Internet]. Springer Science and Business Media LLC; 2018 Nov 6;56(7):4820–37. Available from: http://dx.doi.org/10.1007/s12035-018-1401-5	1
NA	NA	hsa-	miR-30b	Cadmium	Homo sapiens	in vitro (BEAS-2B) lung epithelial	dose-dependent downregulation	Tanwar VS, Zhang X, Jagannathan L, Jose CC, Cuddapah S. Cadmium exposure upregulates SNAIL through miR-30 repression in human lung epithelial cells. Toxicology and Applied Pharmacology [Internet]. Elsevier BV; 2019 Jun;373:1–9. Available from: http://dx.doi.org/10.1016/j.taap.2019.04.011	0
MIMAT0000806	mir-30	rno-	miR-30b-5p	Cadmium	Rattus norvegicus domestica (Sprague Dawley)	in vivo (Renal cortices)	significantly decreased expression	Fay M, Alt L, Ryba D, Salamah R, Peach R, Papaeliou A, et al. Cadmium Nephrotoxicity Is Associated with Altered MicroRNA Expression in the Rat Renal Cortex. Toxics [Internet]. MDPI AG; 2018 Mar 15;6(1):16. Available from: http://dx.doi.org/10.3390/toxics6010016	1
MIMAT0000420	mir-30	hsa-	miR-30b-5p	Cadmium	Homo sapiens	in vitro (RPTEC) Primary Renal Proximal Tubule Epithelial	differential regulated after exposure	Lemaire J, Van der Hauwaert C, Savary G, Dewaeles E, Perrais M, Lo Guidice JM, et al. Cadmium-Induced Renal Cell Toxicity Is Associated With MicroRNA Deregulation. International Journal of Toxicology [Internet]. SAGE Publications; 2020 Jan 14;39(2):103–14. Available from: http://dx.doi.org/10.1177/1091581819899039	0
